ticket_id,created_at,updated_at,customer_id,product,category,description,severity
1,2024-04-12,2024-04-14 04:00:00,1860,MobileApp,Authentication,API returns 500 error when fetching orders,High
2,2024-09-27,2024-09-29 13:00:00,1020,WebPortal,Authentication,Payment page is very slow,Medium
3,2024-04-12,2024-04-13 00:00:00,1130,MobileApp,Authentication,Payment page is very slow,High
4,2024-05-29,2024-05-31 05:00:00,1769,MobileApp,Data Integrity,Data mismatch between dashboard and export,Low
5,2024-12-09,2024-12-10 06:00:00,1805,Database,Performance,Database query timeout on report generation,Medium
6,2024-07-10,2024-07-12 12:00:00,1276,MobileApp,Performance,Dropdown not working on checkout page,Medium
7,2024-06-09,2024-06-11 10:00:00,1021,WebPortal,Performance,User cannot reset password,High
8,2024-09-09,2024-09-11 01:00:00,1474,Database,Authentication,User cannot reset password,Low
9,2024-02-28,2024-02-29 18:00:00,1475,API,Authentication,Database query timeout on report generation,Medium
10,2024-07-06,2024-07-06 15:00:00,1189,Database,Authentication,API returns 500 error when fetching orders,Low
11,2024-06-23,2024-06-25 14:00:00,1562,API,Data Integrity,Data mismatch between dashboard and export,Low
12,2024-12-29,2024-12-31 07:00:00,1243,MobileApp,Performance,API returns 500 error when fetching orders,Low
13,2024-11-15,2024-11-15 03:00:00,1484,WebPortal,Authentication,Dropdown not working on checkout page,High
14,2024-11-02,2024-11-02 07:00:00,1020,API,Performance,User cannot reset password,Medium
15,2024-11-24,2024-11-25 15:00:00,1273,API,Authentication,Button misaligned on profile page,Medium
16,2024-03-29,2024-03-31 12:00:00,1013,WebPortal,Performance,Database query timeout on report generation,Medium
17,2024-08-29,2024-08-29 09:00:00,1345,WebPortal,UI,App crashes when logging in,High
18,2024-02-22,2024-02-22 02:00:00,1339,MobileApp,UI,Dropdown not working on checkout page,High
19,2024-04-01,2024-04-03 12:00:00,1454,WebPortal,Data Integrity,User cannot reset password,High
20,2024-09-20,2024-09-21 23:00:00,1034,Database,Billing,Database query timeout on report generation,High
21,2024-07-24,2024-07-25 12:00:00,1561,WebPortal,Performance,API returns 500 error when fetching orders,Low
22,2024-12-25,2024-12-25 04:00:00,1001,Database,Data Integrity,Dropdown not working on checkout page,Medium
23,2024-02-23,2024-02-23 04:00:00,1821,WebPortal,Data Integrity,Database query timeout on report generation,Critical
24,2024-07-09,2024-07-09 18:00:00,1729,MobileApp,Authentication,Button misaligned on profile page,Medium
25,2024-02-13,2024-02-14 10:00:00,1201,Database,Data Integrity,Payment page is very slow,Medium
26,2024-09-26,2024-09-28 00:00:00,1270,Database,Data Integrity,API returns 500 error when fetching orders,Low
27,2024-08-02,2024-08-04 14:00:00,1295,MobileApp,Authentication,API returns 500 error when fetching orders,Low
28,2024-07-31,2024-08-02 05:00:00,1791,API,Authentication,API returns 500 error when fetching orders,Medium
29,2024-08-04,2024-08-06 12:00:00,1379,Database,Authentication,API returns 500 error when fetching orders,Low
30,2024-02-10,2024-02-11 05:00:00,1014,WebPortal,Data Integrity,Payment page is very slow,Low
31,2024-10-27,2024-10-29 17:00:00,1856,API,Data Integrity,Data mismatch between dashboard and export,High
32,2024-11-22,2024-11-22 09:00:00,1343,WebPortal,Data Integrity,App crashes when logging in,Medium
33,2024-05-08,2024-05-08 08:00:00,1471,Database,Authentication,Payment page is very slow,Low
34,2024-03-03,2024-03-03 11:00:00,1498,API,Performance,App crashes when logging in,High
35,2024-03-21,2024-03-21 08:00:00,1674,MobileApp,Authentication,Database query timeout on report generation,Low
36,2024-10-15,2024-10-15 05:00:00,1489,WebPortal,Performance,Database query timeout on report generation,Low
37,2024-08-18,2024-08-19 17:00:00,1027,WebPortal,UI,Dropdown not working on checkout page,Low
38,2024-05-14,2024-05-14 12:00:00,1929,WebPortal,UI,Dropdown not working on checkout page,Low
39,2024-02-02,2024-02-04 00:00:00,1502,API,Billing,Database query timeout on report generation,High
40,2024-03-02,2024-03-03 13:00:00,1098,WebPortal,Authentication,User cannot reset password,Critical
41,2024-06-20,2024-06-21 11:00:00,1960,WebPortal,Data Integrity,Data mismatch between dashboard and export,Critical
42,2024-08-14,2024-08-15 23:00:00,1461,MobileApp,Performance,Payment page is very slow,Low
43,2024-05-10,2024-05-10 01:00:00,1004,API,Authentication,Data mismatch between dashboard and export,High
44,2024-08-05,2024-08-05 14:00:00,1870,Database,Performance,Button misaligned on profile page,Low
45,2024-10-09,2024-10-09 09:00:00,1206,Database,Performance,Database query timeout on report generation,Low
46,2024-01-15,2024-01-16 18:00:00,1891,WebPortal,Authentication,Payment page is very slow,Medium
47,2024-06-27,2024-06-29 15:00:00,1863,API,Billing,Dropdown not working on checkout page,Medium
48,2024-08-18,2024-08-20 04:00:00,1095,MobileApp,Authentication,App crashes when logging in,Medium
49,2024-08-09,2024-08-09 23:00:00,1230,API,Authentication,Data mismatch between dashboard and export,High
50,2024-08-24,2024-08-24 15:00:00,1170,Database,Performance,Dropdown not working on checkout page,High
51,2024-01-29,2024-01-30 12:00:00,1524,Database,Performance,Payment page is very slow,Medium
52,2024-06-08,2024-06-10 23:00:00,1698,MobileApp,Authentication,App crashes when logging in,Low
53,2024-08-30,2024-08-31 04:00:00,1577,WebPortal,Performance,Dropdown not working on checkout page,Medium
54,2024-06-18,2024-06-19 21:00:00,1573,WebPortal,Billing,App crashes when logging in,High
55,2024-05-13,2024-05-14 04:00:00,1027,MobileApp,Billing,API returns 500 error when fetching orders,Low
56,2024-04-17,2024-04-18 20:00:00,1339,Database,UI,Dropdown not working on checkout page,Medium
57,2024-10-12,2024-10-14 14:00:00,1330,Database,Performance,Data mismatch between dashboard and export,High
58,2024-05-07,2024-05-09 14:00:00,1224,MobileApp,Data Integrity,App crashes when logging in,Low
59,2024-10-09,2024-10-11 14:00:00,1632,MobileApp,Authentication,Database query timeout on report generation,Medium
60,2024-04-25,2024-04-25 03:00:00,1358,WebPortal,Authentication,Payment page is very slow,Low
61,2024-07-16,2024-07-17 03:00:00,1648,MobileApp,Data Integrity,Payment page is very slow,Medium
62,2024-11-13,2024-11-14 13:00:00,1224,WebPortal,Billing,Payment page is very slow,Low
63,2024-11-02,2024-11-03 20:00:00,1663,WebPortal,Data Integrity,App crashes when logging in,Medium
64,2024-11-10,2024-11-11 08:00:00,1607,Database,Data Integrity,User cannot reset password,Low
65,2024-08-20,2024-08-22 04:00:00,1112,WebPortal,UI,Data mismatch between dashboard and export,High
66,2024-11-13,2024-11-15 10:00:00,1563,WebPortal,UI,Database query timeout on report generation,Medium
67,2024-09-24,2024-09-25 15:00:00,1385,MobileApp,Authentication,Database query timeout on report generation,Medium
68,2024-04-22,2024-04-24 08:00:00,1080,MobileApp,Authentication,Data mismatch between dashboard and export,Medium
69,2024-07-05,2024-07-05 02:00:00,1641,WebPortal,UI,Payment page is very slow,Low
70,2024-08-07,2024-08-09 06:00:00,1854,API,UI,Button misaligned on profile page,Medium
71,2024-08-11,2024-08-11 01:00:00,1402,API,Data Integrity,App crashes when logging in,Medium
72,2024-05-05,2024-05-05 02:00:00,1052,API,Authentication,Button misaligned on profile page,High
73,2024-06-20,2024-06-21 08:00:00,1709,MobileApp,Data Integrity,Button misaligned on profile page,High
74,2024-09-03,2024-09-05 20:00:00,1438,WebPortal,UI,Data mismatch between dashboard and export,Medium
75,2024-07-21,2024-07-23 08:00:00,1122,API,Data Integrity,Database query timeout on report generation,High
76,2024-09-11,2024-09-12 14:00:00,1279,MobileApp,Authentication,Dropdown not working on checkout page,Low
77,2024-11-20,2024-11-22 22:00:00,1981,MobileApp,Authentication,User cannot reset password,Low
78,2024-08-27,2024-08-27 16:00:00,1608,API,Performance,Database query timeout on report generation,Medium
79,2024-07-19,2024-07-21 11:00:00,1325,Database,Data Integrity,App crashes when logging in,High
80,2024-12-14,2024-12-14 03:00:00,1659,WebPortal,Data Integrity,App crashes when logging in,Low
81,2024-09-08,2024-09-10 11:00:00,1931,WebPortal,Billing,Button misaligned on profile page,Critical
82,2024-12-11,2024-12-13 19:00:00,1510,API,Authentication,User cannot reset password,High
83,2024-05-26,2024-05-26 20:00:00,1863,WebPortal,Authentication,User cannot reset password,Low
84,2024-07-17,2024-07-19 04:00:00,1488,Database,Data Integrity,Button misaligned on profile page,Low
85,2024-05-07,2024-05-08 15:00:00,1337,WebPortal,Performance,Button misaligned on profile page,Low
86,2024-12-25,2024-12-25 01:00:00,1778,MobileApp,Performance,User cannot reset password,Low
87,2024-05-30,2024-05-31 07:00:00,1989,Database,Performance,API returns 500 error when fetching orders,High
88,2024-10-24,2024-10-24 07:00:00,1763,MobileApp,Billing,App crashes when logging in,Low
89,2024-05-23,2024-05-25 12:00:00,1880,WebPortal,Performance,Database query timeout on report generation,Medium
90,2024-01-02,2024-01-02 01:00:00,1303,WebPortal,Performance,App crashes when logging in,Medium
91,2024-09-10,2024-09-10 12:00:00,1452,Database,UI,API returns 500 error when fetching orders,Low
92,2024-02-06,2024-02-07 08:00:00,1008,API,UI,Dropdown not working on checkout page,Medium
93,2024-08-20,2024-08-20 19:00:00,1815,API,Authentication,Payment page is very slow,Low
94,2024-07-26,2024-07-26 03:00:00,1403,API,Performance,API returns 500 error when fetching orders,Critical
95,2024-05-31,2024-06-02 06:00:00,1119,Database,UI,User cannot reset password,Medium
96,2024-06-09,2024-06-10 00:00:00,1627,MobileApp,Billing,Data mismatch between dashboard and export,High
97,2024-03-15,2024-03-16 12:00:00,1421,Database,Authentication,Data mismatch between dashboard and export,Medium
98,2024-04-13,2024-04-14 01:00:00,1860,MobileApp,UI,User cannot reset password,Medium
99,2024-12-03,2024-12-05 18:00:00,1821,MobileApp,UI,API returns 500 error when fetching orders,Medium
100,2024-06-11,2024-06-13 13:00:00,1680,API,Billing,API returns 500 error when fetching orders,Medium
101,2024-06-09,2024-06-11 20:00:00,1800,WebPortal,Billing,Dropdown not working on checkout page,Medium
102,2024-10-03,2024-10-05 00:00:00,1915,WebPortal,Data Integrity,API returns 500 error when fetching orders,Medium
103,2024-05-14,2024-05-16 19:00:00,1400,MobileApp,UI,API returns 500 error when fetching orders,High
104,2024-05-07,2024-05-08 09:00:00,1687,API,Billing,Database query timeout on report generation,Medium
105,2024-01-22,2024-01-23 06:00:00,1037,WebPortal,Data Integrity,Database query timeout on report generation,Low
106,2024-08-17,2024-08-19 03:00:00,1437,WebPortal,Authentication,API returns 500 error when fetching orders,Medium
107,2024-09-20,2024-09-21 03:00:00,1026,API,Authentication,Data mismatch between dashboard and export,Medium
108,2024-08-13,2024-08-13 21:00:00,1797,WebPortal,Performance,Button misaligned on profile page,Critical
109,2024-04-06,2024-04-07 04:00:00,1878,WebPortal,Billing,Payment page is very slow,Medium
110,2024-11-12,2024-11-14 00:00:00,1658,WebPortal,Billing,Database query timeout on report generation,Medium
111,2024-01-04,2024-01-05 11:00:00,1191,WebPortal,Authentication,Payment page is very slow,Low
112,2024-02-18,2024-02-18 17:00:00,1171,WebPortal,Performance,Database query timeout on report generation,Critical
113,2024-08-07,2024-08-08 06:00:00,1476,WebPortal,Authentication,Database query timeout on report generation,High
114,2024-02-15,2024-02-15 06:00:00,1098,Database,Data Integrity,User cannot reset password,Low
115,2024-08-20,2024-08-21 13:00:00,1279,Database,Data Integrity,Dropdown not working on checkout page,Low
116,2024-12-14,2024-12-15 22:00:00,1180,Database,Performance,Database query timeout on report generation,Medium
117,2024-04-04,2024-04-06 12:00:00,1992,WebPortal,UI,Database query timeout on report generation,Medium
118,2024-04-25,2024-04-27 15:00:00,1252,API,Billing,Payment page is very slow,Low
119,2024-06-09,2024-06-11 19:00:00,1127,WebPortal,UI,User cannot reset password,Medium
120,2024-01-18,2024-01-19 01:00:00,1734,MobileApp,Performance,Button misaligned on profile page,High
121,2024-02-23,2024-02-25 10:00:00,1322,WebPortal,Performance,Payment page is very slow,Medium
122,2024-12-25,2024-12-26 22:00:00,1791,API,Data Integrity,Database query timeout on report generation,Medium
123,2024-04-23,2024-04-24 08:00:00,1942,WebPortal,Billing,Dropdown not working on checkout page,Low
124,2024-12-07,2024-12-07 23:00:00,1961,MobileApp,Data Integrity,Dropdown not working on checkout page,Medium
125,2024-05-06,2024-05-07 03:00:00,1489,API,UI,Dropdown not working on checkout page,Low
126,2024-09-29,2024-09-30 09:00:00,1392,Database,Data Integrity,Data mismatch between dashboard and export,Medium
127,2024-10-25,2024-10-27 00:00:00,1038,API,Billing,Database query timeout on report generation,Critical
128,2024-06-18,2024-06-19 02:00:00,1866,API,Billing,Button misaligned on profile page,Low
129,2024-11-01,2024-11-02 01:00:00,1407,WebPortal,Data Integrity,App crashes when logging in,Low
130,2024-01-13,2024-01-15 12:00:00,1505,MobileApp,Authentication,Dropdown not working on checkout page,High
131,2024-11-08,2024-11-09 12:00:00,1684,Database,Performance,App crashes when logging in,High
132,2024-01-20,2024-01-22 17:00:00,1775,API,Performance,Database query timeout on report generation,Medium
133,2024-05-21,2024-05-21 15:00:00,1091,Database,UI,Dropdown not working on checkout page,High
134,2024-12-19,2024-12-21 18:00:00,1799,MobileApp,Billing,App crashes when logging in,Low
135,2024-08-02,2024-08-04 15:00:00,1853,MobileApp,UI,Data mismatch between dashboard and export,Medium
136,2024-02-20,2024-02-21 01:00:00,1697,MobileApp,Authentication,Data mismatch between dashboard and export,High
137,2024-03-03,2024-03-05 14:00:00,1124,MobileApp,Data Integrity,Button misaligned on profile page,High
138,2024-05-29,2024-05-31 10:00:00,1569,Database,Authentication,Data mismatch between dashboard and export,Medium
139,2024-12-07,2024-12-09 01:00:00,1691,API,UI,Button misaligned on profile page,Medium
140,2024-06-18,2024-06-20 22:00:00,1782,MobileApp,Performance,API returns 500 error when fetching orders,High
141,2024-02-23,2024-02-25 12:00:00,1612,MobileApp,UI,Dropdown not working on checkout page,Medium
142,2024-09-20,2024-09-22 05:00:00,1571,WebPortal,Authentication,Data mismatch between dashboard and export,High
143,2024-04-17,2024-04-17 05:00:00,1102,API,Data Integrity,Payment page is very slow,Low
144,2024-07-14,2024-07-14 06:00:00,1876,MobileApp,UI,Dropdown not working on checkout page,Medium
145,2024-12-15,2024-12-16 23:00:00,1866,MobileApp,Data Integrity,User cannot reset password,Critical
146,2024-11-06,2024-11-07 16:00:00,1819,Database,Billing,Payment page is very slow,Medium
147,2024-05-23,2024-05-23 13:00:00,1369,API,Billing,Button misaligned on profile page,Medium
148,2024-05-03,2024-05-04 06:00:00,1658,API,Data Integrity,Database query timeout on report generation,Medium
149,2024-05-24,2024-05-26 15:00:00,1786,API,UI,Data mismatch between dashboard and export,Low
150,2024-04-01,2024-04-03 10:00:00,1950,MobileApp,UI,Database query timeout on report generation,High
151,2024-12-11,2024-12-13 14:00:00,1790,Database,Data Integrity,Dropdown not working on checkout page,Medium
152,2024-05-06,2024-05-06 09:00:00,1907,Database,UI,Button misaligned on profile page,Medium
153,2024-05-08,2024-05-10 10:00:00,1633,API,UI,User cannot reset password,High
154,2024-01-01,2024-01-02 10:00:00,1095,API,Data Integrity,App crashes when logging in,Medium
155,2024-05-05,2024-05-07 00:00:00,1600,WebPortal,Authentication,Data mismatch between dashboard and export,Low
156,2024-08-24,2024-08-24 01:00:00,1271,Database,Data Integrity,Data mismatch between dashboard and export,Medium
157,2024-07-07,2024-07-09 16:00:00,1446,Database,Billing,App crashes when logging in,Critical
158,2024-03-09,2024-03-09 22:00:00,1860,WebPortal,Billing,Data mismatch between dashboard and export,Medium
159,2024-09-03,2024-09-05 19:00:00,1075,API,Billing,User cannot reset password,Medium
160,2024-06-02,2024-06-02 16:00:00,1434,API,UI,Database query timeout on report generation,High
161,2024-03-26,2024-03-28 09:00:00,1284,API,Performance,Payment page is very slow,Low
162,2024-08-07,2024-08-09 21:00:00,1046,API,Authentication,Button misaligned on profile page,High
163,2024-04-03,2024-04-05 14:00:00,1452,Database,UI,API returns 500 error when fetching orders,Low
164,2024-07-22,2024-07-22 16:00:00,1217,WebPortal,UI,Data mismatch between dashboard and export,Medium
165,2024-12-06,2024-12-07 15:00:00,1611,API,Authentication,Button misaligned on profile page,High
166,2024-10-15,2024-10-15 23:00:00,1761,MobileApp,Data Integrity,API returns 500 error when fetching orders,Medium
167,2024-01-10,2024-01-12 21:00:00,1099,WebPortal,Billing,Payment page is very slow,Low
168,2024-10-16,2024-10-18 04:00:00,1222,API,Billing,Database query timeout on report generation,Medium
169,2024-09-06,2024-09-06 19:00:00,1441,WebPortal,Authentication,API returns 500 error when fetching orders,Low
170,2024-04-05,2024-04-05 01:00:00,1324,Database,Authentication,Payment page is very slow,Medium
171,2024-01-04,2024-01-04 16:00:00,1791,MobileApp,Data Integrity,App crashes when logging in,High
172,2024-12-01,2024-12-01 02:00:00,1496,API,Authentication,Data mismatch between dashboard and export,High
173,2024-06-08,2024-06-09 00:00:00,1907,Database,Data Integrity,Data mismatch between dashboard and export,Low
174,2024-06-26,2024-06-27 11:00:00,1379,Database,Billing,Database query timeout on report generation,High
175,2024-02-02,2024-02-03 09:00:00,1956,Database,UI,App crashes when logging in,Medium
176,2024-06-27,2024-06-28 19:00:00,1612,MobileApp,Performance,Data mismatch between dashboard and export,High
177,2024-09-24,2024-09-26 19:00:00,1576,MobileApp,Performance,Data mismatch between dashboard and export,High
178,2024-06-16,2024-06-17 19:00:00,1555,MobileApp,Performance,App crashes when logging in,Medium
179,2024-10-11,2024-10-11 13:00:00,1011,Database,UI,App crashes when logging in,High
180,2024-04-04,2024-04-05 22:00:00,1897,API,Billing,Payment page is very slow,Medium
181,2024-09-09,2024-09-10 11:00:00,1726,API,Data Integrity,Data mismatch between dashboard and export,Medium
182,2024-12-02,2024-12-02 08:00:00,1604,WebPortal,Performance,API returns 500 error when fetching orders,Low
183,2024-03-30,2024-03-31 10:00:00,1114,MobileApp,Authentication,Button misaligned on profile page,Low
184,2024-04-14,2024-04-14 07:00:00,1195,API,Billing,Payment page is very slow,Medium
185,2024-11-09,2024-11-10 05:00:00,1375,API,Billing,API returns 500 error when fetching orders,Medium
186,2024-08-04,2024-08-04 21:00:00,1760,Database,Billing,Payment page is very slow,Medium
187,2024-06-12,2024-06-12 10:00:00,1868,Database,UI,API returns 500 error when fetching orders,Critical
188,2024-07-10,2024-07-12 01:00:00,1098,WebPortal,Data Integrity,App crashes when logging in,Low
189,2024-02-05,2024-02-06 00:00:00,1662,API,Data Integrity,App crashes when logging in,Low
190,2024-07-08,2024-07-09 13:00:00,1779,WebPortal,Billing,Database query timeout on report generation,Low
191,2024-07-01,2024-07-01 13:00:00,1278,WebPortal,Data Integrity,Dropdown not working on checkout page,Medium
192,2024-08-04,2024-08-05 06:00:00,1272,Database,Authentication,Database query timeout on report generation,Medium
193,2024-03-02,2024-03-02 13:00:00,1698,API,UI,Payment page is very slow,Low
194,2024-01-19,2024-01-21 01:00:00,1611,API,Billing,Database query timeout on report generation,High
195,2024-08-20,2024-08-20 19:00:00,1075,Database,Data Integrity,App crashes when logging in,Medium
196,2024-09-21,2024-09-23 23:00:00,1795,API,UI,User cannot reset password,High
197,2024-07-24,2024-07-26 04:00:00,1850,Database,Data Integrity,App crashes when logging in,Medium
198,2024-05-23,2024-05-25 21:00:00,1098,Database,Billing,App crashes when logging in,High
199,2024-01-25,2024-01-27 04:00:00,1890,API,Data Integrity,Database query timeout on report generation,Medium
200,2024-02-22,2024-02-22 23:00:00,1143,MobileApp,Performance,API returns 500 error when fetching orders,Medium
201,2024-02-26,2024-02-27 15:00:00,1108,API,Billing,Database query timeout on report generation,High
202,2024-06-29,2024-06-30 18:00:00,1185,WebPortal,Performance,API returns 500 error when fetching orders,Medium
203,2024-08-10,2024-08-10 05:00:00,1162,Database,Authentication,Data mismatch between dashboard and export,Low
204,2024-08-02,2024-08-02 18:00:00,1750,MobileApp,Billing,Payment page is very slow,Medium
205,2024-03-16,2024-03-16 09:00:00,1073,WebPortal,Billing,API returns 500 error when fetching orders,Medium
206,2024-09-09,2024-09-09 07:00:00,1173,API,Billing,Database query timeout on report generation,Low
207,2024-05-20,2024-05-21 16:00:00,1169,WebPortal,Billing,Button misaligned on profile page,Medium
208,2024-10-09,2024-10-11 18:00:00,1516,WebPortal,Authentication,API returns 500 error when fetching orders,Low
209,2024-01-29,2024-01-30 13:00:00,1421,Database,UI,API returns 500 error when fetching orders,Low
210,2024-12-04,2024-12-04 08:00:00,1495,API,UI,Database query timeout on report generation,Low
211,2024-12-30,2025-01-01 17:00:00,1341,Database,Data Integrity,Database query timeout on report generation,Medium
212,2024-05-24,2024-05-26 23:00:00,1216,Database,Billing,User cannot reset password,Low
213,2024-10-27,2024-10-27 04:00:00,1803,WebPortal,Data Integrity,Dropdown not working on checkout page,High
214,2024-03-10,2024-03-11 07:00:00,1786,Database,Authentication,User cannot reset password,Low
215,2024-12-29,2024-12-31 06:00:00,1166,Database,Billing,Button misaligned on profile page,Medium
216,2024-03-31,2024-03-31 19:00:00,1038,MobileApp,Performance,User cannot reset password,Low
217,2024-05-05,2024-05-07 19:00:00,1172,Database,Authentication,Database query timeout on report generation,Critical
218,2024-05-20,2024-05-22 10:00:00,1659,WebPortal,Billing,Button misaligned on profile page,Critical
219,2024-11-12,2024-11-13 15:00:00,1000,API,UI,Dropdown not working on checkout page,Medium
220,2024-12-13,2024-12-15 14:00:00,1504,API,Data Integrity,Dropdown not working on checkout page,Low
221,2024-07-09,2024-07-10 01:00:00,1823,Database,Data Integrity,App crashes when logging in,Medium
222,2024-04-26,2024-04-26 06:00:00,1057,WebPortal,UI,Data mismatch between dashboard and export,Low
223,2024-02-13,2024-02-14 21:00:00,1671,Database,Authentication,Payment page is very slow,Medium
224,2024-06-21,2024-06-23 13:00:00,1814,API,Authentication,App crashes when logging in,Medium
225,2024-05-28,2024-05-29 12:00:00,1226,MobileApp,UI,User cannot reset password,Medium
226,2024-05-26,2024-05-26 20:00:00,1440,WebPortal,Performance,Dropdown not working on checkout page,Medium
227,2024-02-16,2024-02-18 01:00:00,1525,WebPortal,Performance,Button misaligned on profile page,Critical
228,2024-05-22,2024-05-23 07:00:00,1512,Database,Data Integrity,Data mismatch between dashboard and export,Medium
229,2024-02-23,2024-02-23 03:00:00,1655,WebPortal,Performance,Database query timeout on report generation,Medium
230,2024-01-12,2024-01-12 16:00:00,1967,Database,UI,App crashes when logging in,Low
231,2024-12-23,2024-12-24 00:00:00,1667,Database,UI,Button misaligned on profile page,Critical
232,2024-01-08,2024-01-09 12:00:00,1089,API,Data Integrity,API returns 500 error when fetching orders,Medium
233,2024-05-15,2024-05-17 10:00:00,1315,Database,UI,Database query timeout on report generation,Low
234,2024-06-26,2024-06-27 04:00:00,1731,WebPortal,Billing,Database query timeout on report generation,High
235,2024-12-22,2024-12-23 17:00:00,1739,Database,Data Integrity,User cannot reset password,Medium
236,2024-07-10,2024-07-11 03:00:00,1501,API,Authentication,Dropdown not working on checkout page,High
237,2024-05-24,2024-05-25 09:00:00,1723,MobileApp,Data Integrity,Database query timeout on report generation,Low
238,2024-08-07,2024-08-08 05:00:00,1908,API,Performance,User cannot reset password,High
239,2024-02-15,2024-02-16 11:00:00,1252,WebPortal,Data Integrity,API returns 500 error when fetching orders,Medium
240,2024-03-22,2024-03-24 21:00:00,1814,WebPortal,Authentication,App crashes when logging in,Medium
241,2024-01-10,2024-01-12 08:00:00,1797,Database,Authentication,User cannot reset password,Low
242,2024-08-29,2024-08-29 05:00:00,1118,MobileApp,UI,User cannot reset password,Low
243,2024-10-15,2024-10-17 17:00:00,1145,WebPortal,Performance,Button misaligned on profile page,Low
244,2024-08-11,2024-08-13 01:00:00,1778,API,Data Integrity,API returns 500 error when fetching orders,Low
245,2024-12-06,2024-12-07 02:00:00,1062,API,Billing,API returns 500 error when fetching orders,Low
246,2024-08-04,2024-08-06 11:00:00,1794,API,Authentication,Database query timeout on report generation,Low
247,2024-06-25,2024-06-26 09:00:00,1609,WebPortal,Performance,Dropdown not working on checkout page,Low
248,2024-04-14,2024-04-14 01:00:00,1404,API,Authentication,Dropdown not working on checkout page,Critical
